ProfID,rank,discipline,yrs.since.phd,yrs.service,sex,salary
1,Prof,B,19,18,Male,139750
2,Prof,B,20,16,Male,173200
3,AsstProf,B,4,3,Female,79750
4,Prof,B,45,39,Female,115000
5,Prof,B,40,41,Female,141500
6,AssocProf,B,6,6,Female,97000
7,Prof,B,30,23,Female,175000
8,Prof,B,45,45,Female,147765
9,Prof,B,21,20,Female,119250
10,Prof,B,18,18,Female,129000
11,AssocProf,B,12,8,Male,119800
12,AsstProf,B,7,2,Male,79800
13,AsstProf,B,1,1,Male,77700
14,AsstProf,B,2,0,Female,78000
15,Prof,B,20,18,Female,104800
16,Prof,B,12,3,Female,117150
17,Prof,B,19,20,Female,101000
18,Prof,A,38,34,Female,103450
19,Prof,A,37,23,Female,124750
20,Prof,A,39,36,Female,137000
21,Prof,A,31,26,Male,89565
22,Prof,A,36,31,Male,102580
23,Prof,A,34,30,Male,93904
24,Prof,A,24,19,Male,113068
25,AssocProf,A,13,8,Female,74830
26,Prof,A,21,8,Male,106294
27,Prof,A,35,23,Male,134885
28,AsstProf,B,5,3,Male,82379
29,AsstProf,B,11,0,Male,77000
30,Prof,B,12,8,Male,118223
31,Prof,B,20,4,Female,132261
32,AsstProf,B,7,2,Female,79916
33,Prof,B,13,9,Female,117256
34,AsstProf,B,4,2,Female,80225
35,AsstProf,B,4,2,Female,80225
36,AsstProf,B,5,0,Female,77000
37,Prof,B,22,21,Male,155750
38,AsstProf,B,7,4,Male,86373
39,Prof,B,41,31,Male,125196
40,AssocProf,B,9,9,Male,100938
41,Prof,B,23,2,Female,146500
42,AssocProf,B,23,23,Female,93418
43,Prof,B,40,27,Female,101299
44,Prof,B,38,38,Female,231545
45,Prof,B,19,19,Female,94384
46,Prof,B,25,15,Female,114778
47,Prof,B,40,28,Female,98193
48,Prof,B,23,19,Female,151768
49,Prof,B,25,25,Female,140096
50,AsstProf,B,1,1,Male,70768
